Название организации  (спортивного объекта);Тип (каток/лыжная трасса);Район;Время суток (день/ ночь/ день и ночь);Расположение (открытый/закрытый);Наличие проката инвентаря (да/нет);Наличие услуг инструктора (да/нет);Наличие помещения для переодевания (да/нет);Наличие камеры хранения (да/нет);Наличие кафе на территории (да/нет);широта;долгота
СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка);каток;Невский;день;открытый;0;1;0;0;0;59.90078;30.468486
СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка);каток;Невский;день;открытый;0;1;0;0;0;59.85195;30.467251
СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка);каток;Невский;день;открытый;0;1;0;0;0;59.914643;30.46422
СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка);каток;Невский;день;открытый;0;1;0;0;0;59.862895;30.500754
СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка);каток;Невский;день;открытый;0;1;0;0;0;59.831232;30.508499
СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка);каток;Невский;день;открытый;0;1;0;0;0;59.915628;30.495216
СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка);каток;Невский;день;открытый;0;1;0;0;0;59.922711;30.493093
СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка);каток;Невский;день;открытый;0;1;0;0;0;59.919806;30.498738
СПб ГБУ «Центр физической культуры, спорта и здоровья Невского района СПб»;каток;Невский;день;открытый;1;0;0;0;0;59.881807;30.420068
СПб ГБУ «ЦФКСиЗ Невского района» Ледовая Арена;каток;Невский;день;закрытый;0;0;1;0;1;59.887142;30.432416
ООО «Фидус»;каток;Невский;день/ночь;закрытый;1;1;1;1;1;59.884099;30.438722
СЦ «Динамит»;каток;Невский;день;закрытый;1;1;1;1;1;59.888149;30.481293
СК «Алмаз-Антей»;каток;Невский;день;закрытый;1;0;1;1;1;59.852009;30.48317
«Хоккейный город» СКА;каток;Невский;день;закрытый;1;0;1;1;0;59.923843;30.469758
«Хоккейный город» СКА;каток;Невский;день;открытый;1;0;1;0;0;59.925565;30.46903
ОАО «Дворец Спорта»;каток;Невский;день;закрытый;1;0;1;0;0;59.921538;30.467899
Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва №2 Невского района Санкт-Петербурга;лыжная трасса;Невский;день;открытый;0;0;0;0;0;59.909124;30.489772
Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва №2 Невского района Санкт-Петербурга;лыжная трасса;Невский;день;открытый;0;0;0;0;0;59.908212;30.465367
Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва №2 Невского района Санкт-Петербурга;лыжная трасса;Невский;день;открытый;0;0;0;0;0;59.926053;30.467485
Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва №2 Невского района Санкт-Петербурга;лыжная трасса;Невский;день;открытый;0;0;0;0;0;59.897131;30.47389
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.838019;30.177447
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.836757;30.172578
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.827356;30.178156
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.852579;30.186088
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.785934;30.144523
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.854291;30.219901
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.850888;30.203363
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.842825;30.149967
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.840139;30.163738
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.670708;30.074855
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;лыжная трасса;Красносельский;день;открытый;0;1;0;0;0;59.85068;30.173791
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;лыжная трасса;Красносельский;день;открытый;0;1;0;0;0;59.835243;30.184489
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;лыжная трасса;Красносельский;день;открытый;0;1;0;0;0;59.840139;30.163738
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;лыжная трасса;Красносельский;день;открытый;0;1;0;0;0;59.74305021992464;30.079600811004642
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;лыжная трасса;Красносельский;день;открытый;0;1;0;0;0;59.720803;30.089924
ГБУ спортивная школа Красносельского района СПб;лыжная трасса;Красносельский;день;открытый;0;0;0;0;0;59.692551;30.120143
ГБОУ Лицей № 369;каток;Красносельский;день;открытый;0;0;0;0;0;59.851837;30.206408
Спортивный комплекс «Рубеж»;каток;Красносельский;день;закрытый;1;1;1;0;1;59.834203;30.170341
Ледовый каток в Южно-Приморском парке;каток;Красносельский;день;открытый;1;0;1;1;0;59.85068;30.173791
Яхт-клуб «Балтиец»;каток;Красносельский;день;открытый;0;0;0;0;0;59.857233;30.119451
Рынок «Юнона»;каток;Красносельский;день;открытый;0;0;0;0;0;59.862506;30.211044
СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»;каток;Красносельский;день;открытый;0;1;0;0;0;59.738379081431795;30.079493522644047
"СПб ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""";каток;Адмиралтейский;день;открытый;0;0;1;0;0;59.913429;30.330735
"СПб ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""";каток;Адмиралтейский;день;открытый;0;0;0;0;0;59.915652;30.285882
"СПб ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""";каток;Адмиралтейский;день;открытый;0;0;0;0;0;59.912608;30.297246
СПБ ГКУ «Парк «Екатерингоф»;лыжная трасса;Адмиралтейский;день;открытый;0;0;0;0;0;59.902036;30.260164
СПБ ГКУ «Парк «Екатерингоф»;лыжная трасса;Адмиралтейский;день;открытый;0;0;0;0;0;59.901626;30.25507
Новая Голландия;каток;Адмиралтейский;день;открытый;1;1;1;1;1;59.92961;30.287104
Каток Музея железных дорог России;каток;Адмиралтейский;день;открытый;1;1;1;1;1;59.905344;30.297605
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;каток;Василеостровский;ночь;закрытый;1;1;1;0;1;59.938788;30.250031
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;каток;Василеостровский;день;открытый;0;0;0;0;0;59.936895;30.267642
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;каток;Василеостровский;день;открытый;0;0;0;0;0;59.930603;30.237997
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;каток;Василеостровский;день;открытый;0;0;0;0;0;59.951319;30.228051
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;каток;Василеостровский;день;открытый;0;0;0;0;0;59.954515;30.231749
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;каток;Василеостровский;день;открытый;0;0;0;0;0;59.935709;30.240235
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;каток;Василеостровский;день;открытый;0;0;0;0;0;59.936065;30.240159
Каток у моря (Севкабель Порт);каток;Василеостровский;день;открытый;1;1;1;1;1;59.924957;30.239763
Каток на Ваське;каток;Василеостровский;день;открытый;1;0;1;1;0;59.938324;30.210576
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;лыжная трасса;Василеостровский;день;открытый;0;0;0;0;0;59.940523;30.209236
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;лыжная трасса;Василеостровский;день;открытый;0;0;0;0;0;59.933747;30.257208
СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»;лыжная трасса;Василеостровский;день;открытый;0;0;0;0;0;59.954065;30.238786
Каток в Брусницыне;каток;Василеостровский;день;открытый;1;1;1;1;1;59.922134;30.25004
СПб ГБУ «Центр спорта Выборгского района»;каток;Выборгский;день/ночь;открытый;0;1;0;0;1;60.045596;30.321443
СПб ГБУ «Центр спорта Выборгского района»;каток;Выборгский;день/ночь;открытый;0;1;0;0;0;60.053787;30.320268
