Порядковое число администрации и комитета,Название организации  (спортивного объекта),Сфера деятельности (вид спорта),Тип (каток/лыжная трасса),Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Время суток (день/ ночь/ день и ночь),Расположение (открытый/закрытый),Стоимость услуг (платно/ бесплатно),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Наличие кафе на территории (да/нет),Иные услуги (перечень),Освещение
12.001,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, ул. Дыбенко, д.17, корп.3","Ул. Дыбенко, участок 36, (южнее д.17, корп.3, лит. Ж)","59.90078,30.468486",Ст. Метро «Улица Дыбенко»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
12.002,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Запорожская ул., д.23, корп.2","Запорожская ул.,участок 2 (северо-восточнее д.23, корп.2, лит.А)","59.85195,30.467251",Ст. Метро «Обухово»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
12.003,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Искровский пр., д.6, корп.7","Искровский пр., участок 15 (севернее д.6, корп.7, лит.А)","59.914643,30.46422","Ст. Метро «Улица Дыбенко», «Проспект Большевиков»",Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Отсутствует
12.004,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Октябрьская наб., д.118, корп.7","Октябрьская наб., участок 68 (юго-западнее д.118, корп.7, лит.А)","59.862895,30.500754",Ст. Метро «Ломоносовская»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Отсутствует
12.005,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Прибрежная ул., д.16","Прибрежная ул., участок 8 (юго-восточнее д.16, лит.А)","59.831232,30.508499",Ст. Метро «Рыбацкое»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Отсутствует
12.006,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург,
пр. Солидарности, д.21","Пр. Солидарности, участок 31 (севернее д.21, лит.А)","59.915628,30.495216",Ст. Метро «Улица Дыбенко»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
12.007,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, пр. Солидарности, д.8, корп.1,","Пр.Солидарности, участок 30 (восточнее д.8, корп.1, лит.А)","59.922711,30.493093",Ст. Метро «Проспект Большевиков»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Отсутствует
12.008,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, ул. Подвойского, д.46","Подвойского ул., участок 21 (юго-западнее д.46, лит.Ш)","59.919806,30.498738",Ст. Метро «Улица Дыбенко»,Невский,495-49-41,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
12.009,"СПб ГБУ «Центр физической культуры, спорта и здоровья Невского района СПб»","Хоккей, фигурное катание",Каток,"г. Санкт-Петербург, Железнодорожный пр., д.32","Г. Санкт-Петербург, Железнодорожный пр., д.32","59.881807,30.420068",Ст. М. Ломоносовская,Невский,329-05-17,Http:/centrsporta-nevskij.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,False,False,False,False,Заточка коньков,Имеется
12.010,СПб ГБУ «ЦФКСиЗ Невского района» Ледовая Арена,"Хоккей, фигурное катание",Каток,"Г. Санкт-Петербург, ул. Бабушкина, д.30","Г. Санкт-Петербург, ул. Бабушкина, д.30, стр.1","59.887142,30.432416","Ст. Метро «Ломоносовская», ст. Метро «Елизаровская»",Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Работающий,06.00-23.00,День,Крытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,True,False,True,Заточка коньков;медицинский пункт,Имеется
